repo_id,repo_name,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label
927442,postgres/postgres,postgres/postgres,134,2010-09-21T11:35:45Z,"Object Oriented,Relational"
276042304,skytable/skytable,skytable/skytable,134,2020-06-30T08:31:09Z,Key-value
639434928,cfu288/SylvieJS,cfu288/SylvieJS,132,2023-05-11T13:21:42Z,Document
9074548,orbisgis/h2gis,orbisgis/h2gis,128,2013-03-28T10:12:05Z,Spatial
321853986,Tencent/Tendis,Tencent/Tendis,124,2020-12-16T03:12:23Z,Key-value
865412,OpenTSDB/opentsdb,OpenTSDB/opentsdb,122,2010-08-27T02:05:20Z,"Key-value,Time Series"
18351848,typicode/lowdb,typicode/lowdb,120,2014-04-02T02:16:06Z,Document
48617634,orbitdb/orbit-db,orbitdb/orbit-db,120,2015-12-26T17:02:28Z,"Key-value,Document"
7357595,zopefoundation/ZODB,zopefoundation/ZODB,118,2012-12-28T17:47:39Z,"Object Oriented,Key-value"
628503457,jdagdelen/hyperDB,jdagdelen/hyperDB,115,2023-04-16T06:27:39Z,"Document,Vector"
5761553,oetiker/rrdtool-1.x,oetiker/rrdtool-1.x,114,2012-09-11T07:41:14Z,Time Series
679889516,fireproof-storage/fireproof,fireproof-storage/fireproof,109,2023-08-17T21:13:44Z,Document
11380094,msiemens/tinydb,msiemens/tinydb,108,2013-07-12T23:31:13Z,Document
26774602,proullon/ramsql,proullon/ramsql,102,2014-11-17T20:00:45Z,Relational
52507351,diennea/herddb,diennea/herddb,100,2016-02-25T08:01:32Z,Relational
597066476,tontinton/dbeel,tontinton/dbeel,96,2023-02-03T14:56:30Z,Document
57401138,bitnine-oss/agensgraph,bitnine-oss/agensgraph,94,2016-04-29T17:19:07Z,"Relational,Key-value,Document,Graph"
429630067,marsupialtail/quokka,marsupialtail/quokka,93,2021-11-19T01:17:06Z,Relational
143436277,baidu/BaikalDB,baidu/BaikalDB,92,2018-08-03T14:19:12Z,Relational
613723,basho/riak,basho/riak,91,2010-04-16T14:51:16Z,Key-value
635374751,jina-ai/vectordb,jina-ai/vectordb,86,2023-05-02T14:59:09Z,"Document,Vector"
606433492,,auxten/chdb,85,,
52420005,griddb/griddb,griddb/griddb,85,2016-02-24T06:31:40Z,"Key-value,Time Series"
5453989,jankotek/mapdb,jankotek/mapdb,81,2012-08-17T15:28:54Z,"Object Oriented,Key-value"
266444815,earthstar-project/earthstar,earthstar-project/earthstar,78,2020-05-24T00:49:12Z,Document
81411018,microsoft/GraphEngine,microsoft/GraphEngine,69,2017-02-09T05:02:16Z,Graph
18800032,tonsky/datascript,tonsky/datascript,66,2014-04-15T12:58:22Z,Key-value
528766495,,TuGraph-db/tugraph-db,64,,
606800919,,firstbatchxyz/HollowDB,63,,
34839383,apache/geode,apache/geode,60,2015-04-30T07:00:05Z,Key-value
206403,apache/jackrabbit,apache/jackrabbit,58,2009-05-21T01:43:24Z,"Object Oriented,Content"
320459354,bytedance/terarkdb,bytedance/terarkdb,58,2020-12-11T03:42:58Z,Key-value
722117815,cursusdb/cursusdb,cursusdb/cursusdb,57,2023-11-22T13:26:09Z,Document
56128733,apache/impala,apache/impala,55,2016-04-13T07:00:08Z,Relational
20537104,cayleygraph/cayley,cayleygraph/cayley,55,2014-06-05T18:49:41Z,RDF
160528020,mateusfreira/nun-db,mateusfreira/nun-db,51,2018-12-05T14:10:46Z,Object Oriented
580788054,,alanshaw/pail,49,,
590507334,StereoDB/StereoDB,StereoDB/StereoDB,48,2023-01-18T15:19:57Z,Relational
6427744,Softmotions/ejdb,Softmotions/ejdb,46,2012-10-28T13:30:23Z,"Document,Key-value"
116522453,akrylysov/pogreb,akrylysov/pogreb,45,2018-01-06T23:16:36Z,Key-value
684046299,OpenTenBase/OpenTenBase,OpenTenBase/OpenTenBase,45,2023-08-28T10:44:36Z,Relational
26917250,pkumod/gStore,pkumod/gStore,44,2014-11-20T14:59:01Z,Graph
722854801,oasysai/oasysdb,oasysai/oasysdb,42,2023-11-24T05:38:45Z,"Key-value,Vector"
147880351,njaard/sonnerie,njaard/sonnerie,39,2018-09-07T22:24:22Z,Relational
8039659,kairosdb/kairosdb,kairosdb/kairosdb,37,2013-02-05T22:27:48Z,Time Series
34533675,,apache/incubator-sedona,37,,
50229487,apache/lucene-solr,apache/lucene-solr,36,2016-01-23T08:00:06Z,"Document,Search Engine"
5665061,,radareorg/sdb,35,,
371172777,kelindar/column,kelindar/column,34,2021-05-26T21:27:45Z,Relational
111333972,arun1729/cog,arun1729/cog,33,2017-11-19T21:35:00Z,RDF
11654790,techfort/LokiJS,techfort/LokiJS,33,2013-07-25T07:39:20Z,Document
183929744,erikgrinaker/toydb,erikgrinaker/toydb,33,2019-04-28T16:02:59Z,Relational
