repo_id,repo_name,self_ref_ratio,repo_name_used,i_pr_rec_cnt,repo_created_at,category_label,project_age_years,external_ref_ratio
19816070,MariaDB/server,0.3330952380952381,MariaDB/server,4735,2014-05-15T10:58:50Z,Relational,9.626283367556468,0.6669047619047619
31006158,apache/ignite,0.0236009579026972,apache/ignite,4719,2015-02-19T08:00:05Z,Key-value,8.85968514715948,0.9763990420973028
41349039,dgraph-io/dgraph,0.6635208372266866,dgraph-io/dgraph,4548,2015-08-25T07:15:56Z,Graph,8.347707049965777,0.33647916277331336
346976717,4paradigm/OpenMLDB,0.2054044809303916,4paradigm/OpenMLDB,4264,2021-03-12T07:18:31Z,Relational,2.8008213552361396,0.7945955190696083
346976717,4paradigm/OpenMLDB,0.2054044809303916,4paradigm/OpenMLDB,4264,2021-03-12T07:18:31Z,Time Series,2.8008213552361396,0.7945955190696083
206417,apache/couchdb,0.4749019607843137,apache/couchdb,4227,2009-05-21T02:03:38Z,Document,14.609171800136892,0.5250980392156863
201403923,activeloopai/deeplake,0.1264001308151418,activeloopai/deeplake,4195,2019-08-09T06:17:59Z,Vector,4.39151266255989,0.8735998691848582
396856161,authzed/spicedb,0.5150534958945011,authzed/spicedb,4050,2021-08-16T15:32:09Z,Object Oriented,2.3709787816563996,0.4849465041054989
581145740,ByConity/ByConity,0.5002564102564102,ByConity/ByConity,3888,2022-12-22T11:50:32Z,Relational,1.0212183436002737,0.4997435897435898
11695619,eXist-db/exist,0.0460756580524524,eXist-db/exist,3882,2013-07-26T21:53:48Z,Document,10.428473648186174,0.9539243419475476
11695619,eXist-db/exist,0.0460756580524524,eXist-db/exist,3882,2013-07-26T21:53:48Z,Native XML,10.428473648186174,0.9539243419475476
420965027,cnosdb/cnosdb,0.6631325301204819,cnosdb/cnosdb,3881,2021-10-25T09:47:14Z,Relational,2.1793292265571527,0.3368674698795181
420965027,cnosdb/cnosdb,0.6631325301204819,cnosdb/cnosdb,3881,2021-10-25T09:47:14Z,Time Series,2.1793292265571527,0.3368674698795181
49412556,quickwit-oss/tantivy,0.2182378711666396,quickwit-oss/tantivy,3755,2016-01-11T08:32:16Z,Document,7.967145790554415,0.7817621288333604
449924556,tigrisdata/tigris,0.4586227426076602,tigrisdata/tigris,3750,2022-01-20T02:16:49Z,Document,1.9411362080766599,0.5413772573923398
54005538,FirebirdSQL/firebird,0.7364764267990075,FirebirdSQL/firebird,3460,2016-03-16T06:10:37Z,Relational,7.789185489390828,0.2635235732009925
372536760,oceanbase/oceanbase,0.3664860681114551,oceanbase/oceanbase,3411,2021-05-31T14:36:17Z,Relational,2.5817932922655715,0.6335139318885449
5844474,EventStore/EventStore,0.7252800779347297,EventStore/EventStore,3401,2012-09-17T17:22:49Z,Event,11.28268309377139,0.2747199220652703
520096046,marqo-ai/marqo,0.701006229036895,marqo-ai/marqo,3230,2022-08-01T12:12:51Z,Document,1.4127310061601643,0.298993770963105
520096046,marqo-ai/marqo,0.701006229036895,marqo-ai/marqo,3230,2022-08-01T12:12:51Z,Search Engine,1.4127310061601643,0.298993770963105
520096046,marqo-ai/marqo,0.701006229036895,marqo-ai/marqo,3230,2022-08-01T12:12:51Z,Vector,1.4127310061601643,0.298993770963105
146459443,vesoft-inc/nebula,0.2952093223996547,vesoft-inc/nebula,3115,2018-08-28T14:25:09Z,Graph,5.338809034907597,0.7047906776003453
30449481,apache/tinkerpop,0.1688903901368012,apache/tinkerpop,3111,2015-02-07T08:00:05Z,Graph,8.892539356605065,0.8311096098631988
462329984,speedb-io/speedb,0.4769140853302162,speedb-io/speedb,3104,2022-02-22T14:18:31Z,Key-value,1.8507871321013005,0.5230859146697838
75425073,pubkey/rxdb,0.1014656144306651,pubkey/rxdb,3055,2016-12-02T19:34:42Z,Document,7.0746064339493495,0.8985343855693348
141376301,apache/incubator-hugegraph,0.3939868462261196,apache/incubator-hugegraph,3043,2018-07-18T03:30:20Z,Graph,5.451060917180014,0.6060131537738804
91593042,bloomberg/comdb2,0.0360880548538433,bloomberg/comdb2,3020,2017-05-17T15:39:23Z,Relational,6.620123203285421,0.9639119451461567
94593596,etcd-io/bbolt,0.3247422680412371,etcd-io/bbolt,2992,2017-06-17T01:42:09Z,Key-value,6.535249828884326,0.6752577319587629
95614931,manticoresoftware/manticoresearch,0.2735020661157025,manticoresoftware/manticoresearch,2952,2017-06-28T01:15:30Z,Relational,6.505133470225872,0.7264979338842975
95614931,manticoresoftware/manticoresearch,0.2735020661157025,manticoresoftware/manticoresearch,2952,2017-06-28T01:15:30Z,Search Engine,6.505133470225872,0.7264979338842975
607441698,lancedb/lancedb,0.6034004163775156,lancedb/lancedb,2919,2023-02-28T01:15:17Z,Document,0.8350444900752909,0.3965995836224844
77385607,JanusGraph/janusgraph,0.2919156200463358,JanusGraph/janusgraph,2917,2016-12-26T13:26:29Z,Graph,7.008898015058179,0.7080843799536642
20473418,apache/phoenix,0.3597560975609756,apache/phoenix,2835,2014-06-04T07:00:08Z,Relational,9.571526351813826,0.6402439024390244
220186120,codenotary/immudb,0.0116311118460944,codenotary/immudb,2807,2019-11-07T08:22:16Z,Key-value,4.145106091718001,0.9883688881539056
