,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,weighted_degree_centrality,weighted_pagerank,composite_centrality,node_type,weight,label,degree,repo_id,repo_name,in_lcc
R_228117837,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,5.7764499877802276e-05,0.00046061722708429296,5.7764499877802276e-05,0.11129196220191398,Repo,1,R_228117837,1,228117837,,True
R_593346082,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_593346082,1,593346082,,True
R_203589409,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_203589409,1,203589409,,True
R_16916235,0.00030707815138952864,0.283686365254539,0.0003678560255926657,0.01407571015825989,6.127355937642502e-05,0.0006141563027790573,6.127355937642502e-05,0.12217927641352826,Repo,1,R_16916235,2,16916235,,True
R_200663555,0.00030707815138952864,0.266435407698416,0.0,0.010800758390897563,4.960225637824577e-05,0.00046061722708429296,4.960225637824577e-05,0.11293312947663588,Repo,1,R_200663555,2,200663555,,True
R_415741642,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_415741642,1,415741642,,True
R_582706245,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_582706245,1,582706245,,True
R_288677911,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_288677911,1,288677911,,True
R_442716595,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_442716595,1,442716595,,True
R_585727736,0.00015353907569476432,0.2647315310825962,0.0,0.009649810545716125,3.4664697146453615e-05,0.00015353907569476432,3.4664697146453615e-05,0.11104231049276977,Repo,1,R_585727736,1,585727736,,True
