DBMS_urnform,X_DBMS_urnform,Y_DBMS_urnform,match_state,manu_labeled_flag,DBMS_common_name,category_label,Written in,Query Interface,System Architecture,Developer,Country of Origin,initial_release_year,current_release_year,Project Type,License_info,github_repo_link,github_repo_id,open_source_license,Score_Oct-2024,Rank_Oct-2024,repo_created_at
myscaledb,myscaledb,,X_Single,Y_auto,MyScaleDB,Relational,C++,SQL,Shared-Everything,Moqi Technology,CN,2021,,"Commercial,Open Source",Apache v2,myscale/MyScaleDB,771847852,Y,,,2024-03-14T04:02:07Z
mysql,mysql,mysql,Multiple:Normal,Y_ConflictResolved,MySQL,Relational,"C,C++",SQL,Shared-Everything,MySQL AB#dbdbio>|<dbengines#Oracle,SE,1994#dbdbio>|<dbengines#1995,2024,Open Source,GPL v2. Commercial licenses with extended functionallity are available,mysql/mysql-server,24494032,Y,1022.76,2,2014-09-26T09:31:03Z
nanolat,nanolat,,X_Single,Y_auto,Nanolat,Key-value,,,,,KR,2012,2014,Open Source,Apache v2,Nanolat/nldb,7085128,Y,,,2012-12-09T23:49:31Z
ncache,ncache,ncache,Normal,Y_auto,NCache,Key-value,,SQL,Shared-Everything,Alachisoft,US,2015#dbdbio>|<dbengines#2005,2024,"Commercial,Open Source","Apache v2,Proprietary#dbdbio>|<dbengines#Enterprise Edition available",Alachisoft/NCache,28956774,Y,0.92,195,2015-01-08T08:37:52Z
ndatabase,ndatabase,,X_Single,Y_auto,NDatabase,Object Oriented,C#,Custom API,Embedded,Jacek Spólnik,PL,,2014,"Commercial,Open Source",LGPL v2,jayhopeter/NDatabase,37340459,Y,,,2015-06-12T19:26:29Z
ndb-cluster,ndb-cluster,,X_Single,Y_auto,NDB Cluster,Key-value,C++,Custom API,Shared-Nothing,Oracle,SE,,,"Commercial,Open Source",GPL v2,-,-,Y,,,-
nebula-graph,nebula-graph,nebulagraph,Fuzzy:Normal,Y,Nebula Graph,Graph,C++,Custom API,Shared-Nothing,vesoft Inc.,CN,2018#dbdbio>|<dbengines#2019,,Open Source,Apache v2.0 + Common Clause 1.0,vesoft-inc/nebula,146459443,Y,1.86,126,2018-08-28T14:25:09Z
nedb,nedb,,X_Single,Y_auto,NeDB,Document,JavaScript,Custom API,Embedded,Louis Chatriot,FR,2013,2017,Open Source,MIT,louischatriot/nedb,9795883,Y,,,2013-05-01T17:12:17Z
neo,neo,,Fuzzy:X_Single,Y_ConflictResolved,NEO,Document,Python,Custom API,Shared-Nothing,Nexedi,FR,2005,,"Commercial,Open Source",GPL v3,Nexedi/neoppod,50098469,Y,,,2016-01-21T09:58:48Z
neo4j,neo4j,neo4j,Normal,Y_auto,Neo4j,Graph,"Java,Scala",Cypher,Shared-Nothing,"Neo4j, Inc.",SE,2007,2024,"Commercial,Open Source","AGPL v3,GPL v3; commercial licenses available",neo4j/neo4j,6650539,Y,42.51,21,2012-11-12T08:46:15Z
neodatis-odb,neodatis-odb,,X_Single,Y_auto,NeoDatis ODB,Object Oriented,Java,Custom API,,NeoDatis,BR,2006,2017,Open Source,GPL v2,sirlordt/NeoDatis,16457385,Y,,,2014-02-02T15:56:43Z
neon,neon,,X_Single,Y_auto,Neon,"Object Oriented,Relational","C,Rust","SQL,PL/SQL,HTTP / REST",Shared-Disk,Neon,US,2021,,"Commercial,Open Source","Apache v2,PostgreSQL License",neondatabase/neon,351806852,Y,,,2021-03-26T14:20:47Z
nessdb,nessdb,,X_Single,Y_auto,nessDB,Key-value,C,Custom API,Embedded,Bohu Tang,CN,2011,2016,Open Source,BSD,BohuTANG/nessDB,1922333,Y,,,2011-06-20T07:17:30Z
nitrite,nitrite,,X_Single,Y_auto,Nitrite,Document,Java,Custom API,Embedded,Anindya Chatterjee,IN,2017,,"Hobby,Open Source",Apache v2,dizitart/nitrite-database,88777477,Y,,,2017-04-19T18:26:54Z
noisepage,noisepage,,X_Single,Y_auto,NoisePage,Relational,C++,SQL,Shared-Everything,Carnegie Mellon University,US,2018,,"Academic,Open Source",MIT,cmu-db/noisepage,140325970,Y,,,2018-07-09T18:22:34Z
noms,noms,,X_Single,Y_auto,Noms,Document,Go,,,Attic Labs,US,2015,2021,Open Source,Apache v2,attic-labs/noms,36778364,Y,,,2015-06-03T03:44:49Z
nosdb,nosdb,nosdb,Normal,Y_auto,NosDB,Document,C#,"Custom API,HTTP / REST",,Alachisoft,US,2013#dbdbio>|<dbengines#2016,2016,"Commercial,Open Source",Apache v2; Professional and Enterprise Versions available,Alachisoft/NosDB,61179047,Y,0.04,360,2016-06-15T05:08:51Z
nucliadb,nucliadb,,X_Single,Y_auto,NucliaDB,Vector,"Python,Rust","Custom API,HTTP / REST",,Bosutech XXI S.L.,ES,2021,,"Commercial,Open Source",AGPL v3,nuclia/nucliadb,478288303,Y,,,2022-04-05T20:21:54Z
nudb,nudb,,X_Single,Y_auto,NuDB,Key-value,C++,Custom API,Embedded,Vinnie Falco,US,2016,,Open Source,Boost Software License,vinniefalco/NuDB,179588377,Y,,,2019-04-04T22:51:06Z
nundb,nundb,,X_Single,Y_auto,NunDB,Object Oriented,Rust,Custom API,Shared-Everything,Mateus Freira,BR,2018,,"Hobby,Open Source",MIT,mateusfreira/nun-db,160528020,Y,,,2018-12-05T14:10:46Z
nutsdb,nutsdb,,X_Single,Y_auto,NutsDB,Key-value,Go,Custom API,,Jiajun Xu,CN,2018,,Open Source,Apache v2,xujiajun/nutsdb,160784930,Y,,,2018-12-07T07:03:38Z
oasysdb,oasysdb,,X_Single,Y_auto,OasysDB,"Key-value,Vector",Rust,HTTP / REST,Shared-Everything,Edwin Kys,US,2023,,"Hobby,Open Source",Apache v2,oasysai/oasysdb,722854801,Y,,,2023-11-24T05:38:45Z
objectbox,objectbox,objectbox,Normal,Y_auto,ObjectBox,Object Oriented,"C,C++,Go,Java,Python,Swift",Custom API,Embedded,ObjectBox Limited,DE,2016#dbdbio>|<dbengines#2017,2024,"Commercial,Open Source",Apache v2,objectbox/objectbox-java,79901405,Y,1.1,175,2017-01-24T10:29:48Z
oceanbase,oceanbase,oceanbase,Normal,Y_auto,OceanBase,Relational,C++,SQL,Shared-Nothing,OceanBase,CN,2010,2024,"Commercial,Open Source",Mulan PubL v2; Commercial license available,oceanbase/oceanbase,372536760,Y,2.03,119,2021-05-31T14:36:17Z
ocelot,ocelot,,X_Single,Y_auto,Ocelot,Relational,Assembly,SQL,,Ocelot Computer Services Inc.,CA,2001,2003,Open Source,"GPL v2,Mozilla Public License",-,-,Y,,,-
odaba,odaba,,X_Single,Y_auto,ODABA,Object Oriented,C++,"Custom API,HTTP / REST",,RUN Software,DE,1994,,"Commercial,Open Source",GPL v2,-,-,Y,,,-
olegdb,olegdb,,X_Single,Y_auto,OlegDB,Key-value,"C,Go",HTTP / REST,Shared-Everything,"Quinlan Pfiffer, Kyle Terry",US,2014,,"Commercial,Open Source",MIT,infoforcefeed/OlegDB,15625555,Y,,,2014-01-04T03:22:52Z
opengemini,opengemini,opengemini,Normal,Y_auto,openGemini,Relational#dbdbio>|<dbengines#Time Series,Go,SQL,Shared-Nothing,Huawei#dbdbio>|<dbengines#Huawei and openGemini community,CN,2022,2023,Open Source,Apache v2.0,openGemini/openGemini,507829396,Y,0.0,388,2022-06-27T08:41:54Z
openmldb,openmldb,openmldb,Normal,Y_auto,OpenMLDB,"Relational,Time Series",C++,"SQL,HTTP / REST",,4Paradigm#dbdbio>|<dbengines#4 Paradigm Inc.,CN,2017#dbdbio>|<dbengines#2020,2024,Open Source,Apache v2,4paradigm/OpenMLDB,346976717,Y,0.08,343,2021-03-12T07:18:31Z
openqm,openqm,openqm,Normal,Y_auto,OpenQM,Multivalue,,,,"Rocket Software, originally Martin Phillips",GB,1993,,"Commercial,Open Source","GPL v2,Proprietary#dbdbio>|<dbengines#GPLv2, extended commercial license available",gregjurman/openqm,1984888,Y,0.28,287,2011-07-01T18:55:20Z
opentsdb,opentsdb,opentsdb,Normal,Y_auto,OpenTSDB,Key-value#dbdbio>|<dbengines#Time Series,Java,"Custom API,HTTP / REST,Command-line / Shell",Shared-Disk,currently maintained by Yahoo and other contributors,US,2010#dbdbio>|<dbengines#2011,,Open Source,LGPL v2,OpenTSDB/opentsdb,865412,Y,1.58,143,2010-08-27T02:05:20Z
opteryx,opteryx,,X_Single,Y_auto,Opteryx,"Object Oriented,Relational",Python,"SQL,Command-line / Shell",Embedded,Justin Joyce,GB,2021,,"Hobby,Open Source",Apache v2,mabel-dev/opteryx,442441933,Y,,,2021-12-28T11:27:22Z
oracle-nosql,oracle-nosql,oracle-nosql,Normal,Y_auto,Oracle NoSQL,Key-value#dbdbio>|<dbengines#Document,Java,Custom API,Shared-Nothing,Oracle,US,2011,2024,"Commercial,Open Source","Apache v2,Proprietary#dbdbio>|<dbengines#Proprietary for Enterprise Edition (Oracle Database EE license has Oracle NoSQL database EE covered:,details,)",oracle/nosql-java-sdk,298920362,Y,3.27,83,2020-09-27T00:05:54Z
orbitdb,orbitdb,,X_Single,Y_auto,OrbitDB,"Key-value,Document",JavaScript,Custom API,Shared-Nothing,Haja Networks,DE,2015,,Open Source,MIT,orbitdb/orbit-db,48617634,Y,,,2015-12-26T17:02:28Z
orientdb,orientdb,orientdb,Normal,Y_auto,OrientDB,"Key-value,Document,Graph,Object Oriented#dbdbio>|<dbengines#Document",Java,"SQL,Stored Procedures,GraphQL,Gremlin,HTTP / REST",Shared-Nothing,OrientDB LTD#dbdbio>|<dbengines#OrientDB LTD; CallidusCloud; SAP,GB,2010,2024,"Commercial,Open Source",Apache v2,orientechnologies/orientdb,7083240,Y,3.03,89,2012-12-09T20:33:47Z
origodb,origodb,origodb,Normal,Y_auto,OrigoDB,"Relational,Key-value,Document,Graph,Object Oriented#dbdbio>|<dbengines#Document",C#,Custom API,Shared-Nothing,Devrex Labs#dbdbio>|<dbengines#Robert Friberg et al,SE,2011#dbdbio>|<dbengines#2009,2016,"Commercial,Open Source",MIT,DevrexLabs/OrigoDB,8799170,Y,0.0,388,2013-03-15T12:59:31Z
orioledb,orioledb,,X_Single,Y_auto,OrioleDB,"Object Oriented,Relational",C,SQL,Shared-Everything,OrioleDB,BY,2021,,"Commercial,Open Source",PostgreSQL License,orioledb/orioledb,432844875,Y,,,2021-11-28T22:57:49Z
oxia,oxia,,X_Single,Y_auto,Oxia,Key-value,Go,Custom API,Shared-Nothing,StreamNative,US,2021,,"Commercial,Open Source",Apache v2,streamnative/oxia,454981666,Y,,,2022-02-03T00:28:48Z
pail,pail,,X_Single,Y_auto,Pail,Key-value,JavaScript,Custom API,,Protocol Labs,GB,2022,,Open Source,"Apache v2,MIT",web3-storage/pail,580788054,Y,,,2022-12-21T13:00:12Z
paldb,paldb,,X_Single,Y_auto,PalDB,Key-value,Java,Custom API,,LinkedIn,US,2015,2016,Open Source,Apache v2,linkedin/PalDB,38254684,Y,,,2015-06-29T15:20:29Z
paper,paper,,X_Single,Y_auto,Paper,"Key-value,Object Oriented",Java,Custom API,Embedded,Aleksey Masny,SE,2015,,Open Source,Apache v2,pilgr/Paper,37285717,Y,,,2015-06-11T20:55:15Z
paradedb,paradedb,,X_Single,Y_auto,ParadeDB,"Object Oriented,Relational",Rust,SQL,Shared-Everything,"Retake, Inc.",US,2023,,"Commercial,Open Source",AGPL v3,paradedb/paradedb,660776503,Y,,,2023-06-30T20:21:47Z
pearldb,pearldb,,X_Single,Y_auto,PearlDB,Key-value,C,HTTP / REST,,Willem Thiart,NZ,2015,2018,"Hobby,Open Source",BSD,willemt/pearldb,30828379,Y,,,2015-02-15T13:37:44Z
pebble,pebble,,X_Single,Y_auto,Pebble,Key-value,Go,Custom API,Embedded,Cockroach Labs,US,2018,,Open Source,BSD,petermattis/pebble,278684767,Y,,,2020-07-10T16:41:24Z
percona-server,percona-server,percona-server-for-mysql,Multiple:Normal,Y_ConflictResolved,Percona Server for MySQL,Relational,,SQL,Shared-Everything,Percona,US,2006#dbdbio>|<dbengines#2008,2024,"Commercial,Open Source",GPL version 2,percona/percona-server,30753733,Y,2.03,118,2015-02-13T11:32:01Z
perst,perst,perst,Normal,Y_auto,Perst,Object Oriented,Java,,Embedded,Konstantin Knizhnik,RU,2003,,Open Source,"GPL v3,Proprietary#dbdbio>|<dbengines#commercial license available",The-Alchemist/perst,124423054,Y,0.47,251,2018-03-08T17:07:31Z
